pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,Imaging,2008,Ground,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,242.3762343,-21.0831403,22.03031,352.8905,-0.06852,244.36567,,18.647,1.664,3000.0,8.0,Mass,2.54,K7 V,4060.0,1.31,0.85,-0.37,0.005,4.0,0.38789,,,139.135,Gas Giant
2M0437 b,2MASS J04372171+2651014,b,1,1,Imaging,2021,Ground,Subaru Telescope,8.2 m Subaru Telescope,Infrared Camera and Spectrograph (IRCS),69.3405531,26.8502997,-13.44593,172.81975,4.72193,71.58413,,13.0,1.16,1271.31363,4.0,Mass,3.18,M V,3100.0,0.84,0.17,-1.164,0.003,4.5,3.32018,1.84,22.54,128.484,Gas Giant
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,b,2,1,Imaging,2013,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,15.8992489,-55.2658291,-61.77586,299.26888,-54.69414,341.46812,,12.3,1.1,4131.79,13.0,Mass,12.2,M5.5/M6,,,0.19,,0.03,,,,,47.2,Gas Giant
2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,1,1,Imaging,2013,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,20.7128012,-24.6646128,-82.5199,195.45385,-30.71197,8.62267,,11.209,1.0,7786.5,24.5,Mass,30.4,M3.5 V,3530.0,0.37,0.4,-1.72,0.12,4.86,10.11868,,,33.8281,Gas Giant
2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,1,1,Imaging,2015,Ground,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,SIMON Near-Infrared Spectroimager,34.8427046,-39.4230767,-67.98402,252.45343,-49.30514,13.50901,,16.141,1.44,4417.837,13.9,Mass,5.77,M6,3064.0,0.28,0.11,-2.23,0.035,4.59,17.67076,,6.5,40.0896412,Gas Giant
2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,1,1,Imaging,2010,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope,WFPC2 Camera,70.4371079,23.0308544,-15.11435,176.51065,0.80236,72.05025,,12.6,1.13,2383.6,7.5,Mass,6.55,M8.5,2936.0,0.23,0.02,-2.444,0.001,5.01,22.7811,,,120.423987,Gas Giant
2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,1,1,Imaging,2004,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,181.8890906,-39.5484399,22.54309,293.79011,-35.03506,199.73955,,12.9,1.15,1589.15,5.0,Mass,4.07,M8,2825.0,0.22,0.02,-2.561,0.008,5.03,25.27945,,,64.308,Gas Giant
2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,1,1,Imaging,2016,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,339.1025931,47.861683,-9.10923,100.74846,50.8533,6.85902,,12.3,1.1,3972.875,12.5,Mass,11.7,K7 V,4045.0,0.64,0.6,-1.021,0.12,4.62,3.36994,,,69.5737,Gas Giant
BD+60 1417 b,BD+60 1417,b,1,1,Imaging,2021,Space,Wide-field Infrared Survey Explorer (WISE) Sat,0.4 m Telescope,HgCdTe and Si:As 1K Infrared Detectors,190.8875453,60.0143636,57.0861,124.74559,56.32829,152.2766,,14.684,1.31,4767.4261,15.0,Mass,8.27,K0,4993.0,0.8,1.0,0.356,0.1,4.55,2.30875,7.5,11.0,44.9543,Gas Giant
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,b,1,1,Imaging,2011,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,224.6208333,10.2286111,55.65506,9.59427,25.96906,218.81934,10037.5,12.4,1.11,3337.1,10.5,Mass,9.62,,580.5,,0.02,,,4.72,,,,23.1,Gas Giant
