pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
KMT-2016-BLG-0212L b,KMT-2016-BLG-0212L,b,1,1,Microlensing,2018,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,268.43925,-29.0868889,-1.60371,0.78471,-5.65503,268.62946,,12.2,1.08,5700.0,18.0,Mass,17.2,,,,0.48,,,,,,,6300.0,Gas Giant
KMT-2016-BLG-1107L b,KMT-2016-BLG-1107L,b,1,1,Microlensing,2019,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,266.41775,-26.0318,1.503,2.48555,-2.63257,266.77817,,13.1,1.17,1043.0,3.283,Mass,2.55,,,,0.09,,,,,,,6651.0,Gas Giant
KMT-2016-BLG-1397L b,KMT-2016-BLG-1397L,b,1,1,Microlensing,2018,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,272.664612,-24.8577385,-2.79425,6.32391,-1.44082,272.41836,,12.7,1.13,2200.0,7.0,Mass,5.9,,,,0.45,,,,,,,6600.0,Gas Giant
KMT-2016-BLG-1820L b,KMT-2016-BLG-1820L,b,1,1,Microlensing,2018,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,268.76474,-29.5169201,-2.06591,0.55685,-6.08227,268.919,,12.9,1.15,1450.0,4.57,Mass,3.71,,,,0.04,,,,,,,6260.0,Gas Giant
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,b,1,1,Microlensing,2019,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,268.250333,-30.04075,-1.94559,359.87875,-6.61073,268.47529,,13.3,1.19,700.0,2.2,Mass,1.63,,,,0.49,,,,,,,7100.0,Gas Giant
KMT-2016-BLG-2142L b,KMT-2016-BLG-2142L,b,1,1,Microlensing,2018,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,268.112,-29.3845615,-1.50874,0.38314,-5.95612,268.34604,,12.2,1.09,4923.0,15.49,Mass,14.9,,,,0.07,,,,,,,7010.0,Gas Giant
KMT-2016-BLG-2364L b,KMT-2016-BLG-2364L,b,1,1,Microlensing,2020,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,265.715667,-27.4355611,1.30314,0.96071,-4.05294,266.18874,,13.0,1.16,1250.0,3.93,Mass,3.13,,,,0.5,,,,,,,6440.0,Gas Giant
KMT-2016-BLG-2397L b,KMT-2016-BLG-2397L,b,1,1,Microlensing,2020,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,266.212542,-23.2013806,3.13548,4.80724,0.19215,266.51923,,13.2,1.18,836.0,2.63,Mass,2.0,,,,0.64,,,,,,,4880.0,Gas Giant
KMT-2016-BLG-2605L b,KMT-2016-BLG-2605L,b,1,1,Microlensing,2021,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,269.8230833,-26.982,-1.60348,3.21922,-3.54282,269.84204,,14.0,1.25,245.0457,0.771,Mass,0.491,,,,0.06,,,,,,,6421.0,Gas Giant
KMT-2017-BLG-0673L b,KMT-2017-BLG-0673L,b,1,1,Microlensing,2022,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,264.7570417,-33.8080278,-1.37183,355.11792,-10.4493,265.56803,,13.0,1.16,1166.43025,3.67,Mass,2.92,,,,0.63,,,,,,,5080.0,Gas Giant
