pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
BD+03 2562 b,BD+03 2562,b,1,1,Radial Velocity,2017,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,177.5647268,2.7601075,61.57342,269.32522,1.56429,176.66835,481.9,12.7,1.13,2034.112,6.4,Msini,5.46,,4095.0,32.35,1.14,2.7,5.2,1.89,,,2.7,1070.63,Gas Giant
BD+14 4559 b,BD+14 4559,b,1,1,Radial Velocity,2009,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,318.4010002,14.6893834,-22.63172,64.41837,29.21653,325.9764,268.94,13.8,1.23,330.5432,1.04,Msini,0.691,K2 V,4864.0,0.86,0.49,-0.32,,4.26,1.73113,,2.5,49.352,Gas Giant
BD+15 2375 b,BD+15 2375,b,1,1,Radial Velocity,2016,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,176.4820239,14.6163182,70.27244,249.00212,11.99953,170.89104,153.22,13.8,1.23,337.21763,1.061,Msini,0.705,G5,4649.0,8.95,1.08,1.57,7.41,2.61,,,2.5,768.045,Gas Giant
BD+15 2940 b,BD+15 2940,b,1,1,Radial Velocity,2013,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,240.09564,15.5467507,44.78011,28.10432,35.31759,233.93894,137.48,13.7,1.23,352.78,1.11,Msini,0.754,K0,4796.0,14.7,1.1,2.01,7.1,2.8,,,2.3,426.42,Gas Giant
BD+20 2457 b,BD+20 2457,b,1,2,Radial Velocity,2009,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,154.186782,19.8912626,53.95226,216.04472,8.58559,148.87814,379.63,12.1,1.08,6807.63,21.42,Msini,21.1,K2 II,4137.0,49.0,2.8,3.17,,1.51,,,2.5,1539.71,Gas Giant
BD+20 2457 c,BD+20 2457,c,1,2,Radial Velocity,2009,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,154.186782,19.8912626,53.95226,216.04472,8.58559,148.87814,621.99,12.4,1.1,3963.17,12.47,Msini,11.4,K2 II,4137.0,49.0,2.8,3.17,,1.51,,,2.5,1539.71,Gas Giant
BD+20 274 b,BD+20 274,b,1,1,Radial Velocity,2012,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,25.9203179,21.0052692,-40.23345,138.9742,9.58745,31.62164,578.2,13.0,1.16,1334.886,4.2,Msini,3.34,K5 III,4296.0,17.3,0.8,1.96,,1.99,,,2.0,1322.51,Gas Giant
BD+45 564 b,BD+45 564,b,1,1,Radial Velocity,2021,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,32.9470485,45.9242187,-14.70463,137.23205,30.57409,47.31265,307.88,13.6,1.21,432.24663,1.36,Msini,0.944,K1,5004.0,0.81,0.81,-0.399,,4.22,2.22951,,2.0,53.622,Gas Giant
BD+48 738 b,BD+48 738,b,1,1,Radial Velocity,2011,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,40.7102869,49.5869395,-9.3787,140.80848,32.03021,54.57335,392.6,13.9,1.24,289.2253,0.91,Msini,0.592,K0 III,4414.0,11.0,0.74,1.69,,2.24,,,1.0,871.493,Gas Giant
BD+48 740 b,BD+48 740,b,1,1,Radial Velocity,2018,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,40.7425426,48.9300579,-9.96534,141.10904,31.4085,54.32283,733.0,13.5,1.2,540.311,1.7,Msini,1.21,K3 III,4534.0,10.33,1.09,1.64,,2.48,,746.0,0.7,666.589,Gas Giant
BD+49 828 b,BD+49 828,b,1,1,Radial Velocity,2015,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,45.6406187,49.7299481,-7.80173,143.61792,31.07852,58.15184,2590.0,13.5,1.21,508.5,1.6,Msini,1.14,K0,4943.0,7.6,1.52,1.47,2.34,2.85,,,1.7,442.042,Gas Giant
BD+55 362 b,BD+55 362,b,1,1,Radial Velocity,2021,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,23.9636676,56.6982282,-5.64657,129.03163,42.69678,46.94818,265.59,14.0,1.25,228.83645,0.72,Msini,0.458,K3,5012.0,0.9,0.91,-0.313,,4.09,1.66486,,2.0,52.5697,Gas Giant
BD+63 1405 b,BD+63 1405,b,1,1,Radial Velocity,2021,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,271.3979337,63.6700064,29.1513,93.08126,87.05023,282.13451,1198.48,12.4,1.11,3305.41543,10.4,Mass,9.53,K0,5000.0,0.8,0.82,-0.413,,4.2,2.29955,,2.1,38.0473,Gas Giant
BD-06 1339 c,BD-06 1339,c,1,2,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,88.2511811,-5.9963378,-15.71602,211.65797,-29.4235,87.99923,125.94,8.38,0.747,53.0,0.17,Msini,0.495,K7/M0 V,4324.0,0.69,0.7,-1.022,4.4,4.74,2.747,,0.57,20.2695,Gas Giant
BD-08 2823 c,BD-08 2823,c,1,2,Radial Velocity,2009,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,150.1971964,-9.5165689,34.75486,248.49513,-20.28382,155.83616,237.6,12.5,1.11,104.0,0.33,Msini,0.293,K3 V,4746.0,0.72,0.74,-0.626,4.5,4.13,3.31801,,1.4,41.3342,Gas Giant
BD-10 3166 b,BD-10 3166,b,1,1,Radial Velocity,2000,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,164.6191243,-10.7704227,43.23793,263.28467,-15.96792,170.13441,3.48777,14.1,1.26,187.5197,0.59,Msini,0.368,K0 V,5393.0,0.91,1.47,-0.191,1.0,4.69,1.53276,,0.92,84.4069,Gas Giant
