pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
CoRoT-1 b,CoRoT-1,b,1,1,Transit,2008,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,102.0798591,-3.1021394,-2.10712,215.33882,-25.9795,103.43795,1.5089557,16.7,1.49,327.35,1.03,Mass,0.38,G0 V,5950.0,1.11,0.95,0.298,1.6,4.25,0.93,,5.2,787.909,Gas Giant
CoRoT-10 b,CoRoT-10,b,1,1,Transit,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,291.0636813,0.7460143,-6.95299,37.36069,22.5266,292.89599,13.2406,10.87,0.97,874.0,2.75,Mass,3.7,K1 V,5075.0,0.79,0.89,-0.726,3.0,4.65,3.32,,2.0,338.386,Gas Giant
CoRoT-11 b,CoRoT-11,b,1,1,Transit,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,280.6872998,5.9376586,4.63005,37.24009,28.92669,282.16226,2.99433,16.03,1.43,740.51,2.33,Mass,0.99,F6 V,6440.0,1.37,1.27,0.378,2.0,4.22,0.69,,40.0,655.037,Gas Giant
CoRoT-12 b,CoRoT-12,b,1,1,Transit,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,100.7656871,-1.2964437,-2.45441,213.13155,-24.29495,101.82309,2.828042,16.14,1.44,291.438,0.917,Mass,0.411,,5675.0,1.12,1.08,0.07,6.3,4.38,1.08,,1.0,1126.37,Gas Giant
CoRoT-13 b,CoRoT-13,b,1,1,Transit,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,102.7211432,-5.0864557,-2.43966,217.3986,-27.89339,104.36935,4.03519,9.92,0.885,415.704,1.308,Mass,2.34,G0 V,5945.0,1.01,1.09,0.073,1.635,4.46,1.468,,4.0,1148.93,Gas Giant
CoRoT-14 b,CoRoT-14,b,1,1,Transit,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,103.4242023,-5.5360385,-2.02059,218.11787,-28.26924,105.21063,1.51214,12.22,1.09,2415.4,7.6,Mass,7.3,F9 V,6035.0,1.21,1.13,0.119,4.2,4.35,0.91,,9.0,1744.6,Gas Giant
CoRoT-16 b,CoRoT-16,b,1,1,Transit,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,278.5246658,-6.0026026,1.1011,25.61433,17.17439,278.87636,5.35227,13.11,1.17,170.032,0.535,Mass,0.44,G5 V,5650.0,1.19,1.1,-0.435,6.73,4.36,0.93,,1.0,732.409,Gas Giant
CoRoT-17 b,CoRoT-17,b,1,1,Transit,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,278.699236,-6.612288,0.66631,25.15299,16.55509,279.01767,3.7681,11.43,1.02,772.29,2.43,Mass,2.82,G2 V,5740.0,1.59,1.04,0.134,10.7,4.4,0.32,,4.5,1176.12,Gas Giant
CoRoT-18 b,CoRoT-18,b,1,1,Transit,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,98.1724172,-0.0316045,-4.18491,210.8191,-23.2188,98.89441,1.9000693,14.68,1.31,1102.82,3.47,Mass,2.2,G9 V,5440.0,1.0,0.95,-0.17,0.032,4.4,1.35,5.4,8.0,764.889,Gas Giant
CoRoT-19 b,CoRoT-19,b,1,1,Transit,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,97.0335983,-0.1707293,-5.26125,210.42057,-23.42296,97.66499,3.89713,14.46,1.29,352.78,1.11,Mass,0.71,F9 V,6090.0,1.65,1.21,0.544,5.0,4.07,0.38,,6.0,790.663,Gas Giant
CoRoT-2 b,CoRoT-2,b,2,1,Transit,2008,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,291.7770457,1.3836634,-7.29102,38.26267,23.0439,293.76505,1.7429935,16.432,1.466,1102.82,3.47,Mass,1.47,,5625.0,0.91,0.96,-0.131,2.7,4.53,1.814,4.52,10.87,213.283,Gas Giant
CoRoT-20 b,CoRoT-20,b,1,2,Transit,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,97.7204249,0.2268931,-4.4686,210.38123,-22.98779,98.39095,9.24285,9.416,0.84,1366.669,4.3,Mass,8.87,G2 V,5880.0,1.02,1.14,0.17,0.1,4.35,1.51,,4.5,844.061,Gas Giant
CoRoT-21 b,CoRoT-21,b,1,1,Transit,2012,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,101.0526207,-0.2991544,-1.74447,212.37415,-23.27744,102.0459,2.72474,14.572,1.3,718.2958,2.26,Mass,1.36,F8 IV,6200.0,1.95,1.29,0.705,4.1,3.7,0.255,,11.0,1398.8341969,Gas Giant
