pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
KOI-142 c,KOI-142,c,1,3,Transit Timing Variations,2013,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,291.1481028,40.669413,11.52808,72.93478,61.55856,305.06572,22.26492,14.0,1.25,214.1,0.674,Mass,0.429,G6 V,5466.0,0.9,0.99,-0.223,2.2,4.53,1.50172,,1.8,376.863,Gas Giant
KOI-984 c,KOI-984,c,1,2,Transit Timing Variations,2022,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,291.0489438,36.8400772,9.90063,69.40595,57.9096,302.75618,21.512,14.1,1.25,209.8,0.6601,Mass,0.411,,5295.0,0.82,0.93,-0.324,1.3,4.54,2.3967,,,252.667,Gas Giant
Kepler-160 d,Kepler-160,d,1,3,Transit Timing Variations,2020,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,287.773573,42.8692755,14.73466,73.9027,64.39672,301.17921,30.0,,,100.0,0.31463,Mass,,,5471.0,1.12,0.97,0.004,1.6,4.47,1.2,,,937.013,Gas Giant
Kepler-419 c,Kepler-419,c,1,2,Transit Timing Variations,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,295.4179125,51.1847629,13.53223,83.93458,70.06361,322.0943,675.47,12.6,1.13,2320.1,7.3,Mass,6.37,,6430.0,1.74,1.39,0.713,1.29,4.1,13.34,4.49,14.41,1011.36,Gas Giant
Kepler-448 c,KOI-12,c,1,2,Transit Timing Variations,2017,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,297.4537402,41.0110188,7.46967,75.49897,60.27427,314.55164,2500.0,12.0,1.07,6992.26,22.0,Mass,22.2,,6466.33,1.4,1.5,0.574,1.45,4.31,0.8,,60.0,399.398,Gas Giant
Kepler-46 c,Kepler-46,c,1,3,Transit Timing Variations,2012,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,289.2687388,42.6041819,13.62366,74.1138,63.82518,303.40734,57.011,13.5,1.21,119.499,0.376,Mass,0.267,,5155.0,0.94,0.9,-0.255,9.7,4.45,1.53,,,777.06,Gas Giant
Kepler-539 c,Kepler-539,c,1,2,Transit Timing Variations,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,299.1224639,41.8667953,6.81805,76.8781,60.58722,317.56098,1000.0,13.3,1.18,762.792,2.4,Mass,1.78,G2 V,5820.0,0.95,1.05,-0.094,0.91,4.5,1.713,11.77,4.4,307.318,Gas Giant
TOI-2202 c,TOI-2202,c,1,2,Transit Timing Variations,2021,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,51.2284214,-73.9575458,-39.12815,290.15667,-75.34258,313.14572,24.6744,13.4,1.19,117.27868,0.369,Mass,0.268,K8 V,5144.0,0.79,0.82,-0.401,7.48,4.55,2.14284,,1.7,235.933,Gas Giant
WASP-126 c,WASP-126,c,1,2,Transit Timing Variations,2019,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,63.374706,-69.2265926,-38.83332,282.35871,-79.72311,332.98735,7.63,9.38,0.837,64.2,0.20199,Mass,0.427,G2,5800.0,1.27,1.12,0.132,6.4,4.28,0.79,,0.5,216.526,Gas Giant
WASP-18 c,WASP-18,c,2,2,Transit Timing Variations,2019,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,24.3544618,-45.6777937,-69.32147,279.70959,-50.44353,358.17603,2.1558,8.58,0.765,55.2,0.17368,Mass,0.48,F6 IV-V,6400.0,1.23,1.22,0.383,1.0,4.37,0.69,,11.0,123.483,Gas Giant
