pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
KMT-2017-BLG-0165L b,KMT-2017-BLG-0165L,b,1,1,Microlensing,2018,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,269.6496667,-28.1336694,-2.04368,2.1434,-4.69477,269.69002,,6.45,0.575,34.0,0.11,Mass,0.696,,,,0.76,,,,,,,4530.0,Neptune-like
KMT-2018-BLG-0029L b,KMT-2018-BLG-0029L,b,1,1,Microlensing,2020,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,264.469458,-27.9847,1.94743,359.90973,-4.63941,265.10172,,2.67,0.238,7.59,0.0239,Mass,2.19,,,,1.14,,,,,,,3380.0,Neptune-like
KMT-2018-BLG-1025L b,KMT-2018-BLG-1025L,b,1,1,Microlensing,2021,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,269.8664167,-27.8780611,-2.08247,2.46055,-4.43883,269.88157,,2.34,0.208,6.059,0.01906,Mass,2.6,,,,0.22,,,,,,,6705.0,Neptune-like
KMT-2018-BLG-1988L b,KMT-2018-BLG-1988L,b,1,1,Microlensing,2022,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,265.2825417,-35.5947,-2.68573,353.83159,-12.21965,266.07642,,2.22,0.198,5.56,0.01749,Mass,2.79,,,,0.47,,,,,,,4150.0,Neptune-like
KMT-2019-BLG-0842L b,KMT-2019-BLG-0842L,b,1,1,Microlensing,2020,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,268.458458,-29.8774389,-2.01831,0.11105,-6.44536,268.65488,,3.19,0.284,10.28,0.03234,Mass,1.74,,,,0.76,,,,,,,3320.0,Neptune-like
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,b,1,1,Microlensing,2022,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,269.2416667,-30.0930556,-2.71306,0.2661,-6.65551,269.33556,,3.35,0.299,11.2,0.03524,Mass,1.64,,5200.0,,0.78,,,,,,,4600.0,Neptune-like
KMT-2021-BLG-0192L b,KMT-2021-BLG-0192L,b,1,1,Microlensing,2022,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,268.1049583,-30.0086889,-1.82089,359.84241,-6.58027,268.34431,,6.56,0.585,34.96112,0.11,Mass,0.681,,,,0.27,,,,,,,5120.0,Neptune-like
KMT-2021-BLG-0320L b,KMT-2021-BLG-0320L,b,1,1,Microlensing,2022,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,269.388125,-30.5039389,-3.02784,359.97293,-7.06579,269.46491,,6.2,0.553,31.78284,0.1,Mass,0.733,,,,0.32,,,,,,,6950.0,Neptune-like
KMT-2021-BLG-2294L b,KMT-2021-BLG-2294L,b,1,1,Microlensing,2022,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,270.0624167,-28.6124389,-2.5967,1.9081,-5.17317,270.05115,,5.02,0.448,22.24799,0.07,Mass,0.966,,,,0.14,,,,,,,6800.0,Neptune-like
MOA-2008-BLG-310L b,MOA-2008-BLG-310L,b,1,1,Microlensing,2009,Ground,MOA,1.8 m MOA Telescope,MOA CCD Array,268.560542,-34.7780528,-4.56257,355.91449,-11.3448,268.79415,,5.18,0.462,23.4,0.0736,Mass,0.925,,,,0.21,,,,,,,7700.0,Neptune-like
MOA-2009-BLG-266L b,MOA-2009-BLG-266L,b,1,1,Microlensing,2011,Ground,MOA,1.8 m MOA Telescope,MOA CCD Array,267.008125,-35.0054111,-3.58099,355.06999,-11.5921,267.49868,2800.0,3.21,0.286,10.4,0.0327,Mass,1.73,,,,0.56,,,,,,,3040.0,Neptune-like
