pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
BD-06 1339 b,BD-06 1339,b,1,2,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,88.2511811,-5.9963378,-15.71602,211.65797,-29.4235,87.99923,3.8728,2.85,0.254,8.5,0.027,Msini,2.02,K7/M0 V,4324.0,0.69,0.7,-1.022,4.4,4.74,2.747,,0.57,20.2695,Neptune-like
BD-08 2823 b,BD-08 2823,b,1,2,Radial Velocity,2009,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,150.1971964,-9.5165689,34.75486,248.49513,-20.28382,155.83616,5.6,3.61,0.322,12.7132,0.04,Msini,1.48,K3 V,4816.0,0.71,0.5,-0.626,4.5,4.43,3.31801,,1.4,41.3342,Neptune-like
BD-11 4672 c,BD-11 4672,c,1,2,Radial Velocity,2020,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,278.3688659,-11.6370481,-1.35959,20.54287,11.55951,278.36653,74.2,4.04,0.36,15.37,0.04836,Msini,1.28,K7V,4550.0,0.64,0.65,-0.804,7.4,4.64,3.53,25.0,1.0,27.1665,Neptune-like
CoRoT-7 c,CoRoT-7,c,1,3,Radial Velocity,2009,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,100.9561682,-1.0630076,-2.17853,213.01042,-24.04666,102.00623,3.698,2.83,0.253,8.4,0.02643,Mass,2.04,G9 V,5256.0,0.86,0.9,-0.289,1.8,4.52,1.96324,,3.5,159.906,Neptune-like
CoRoT-7 d,CoRoT-7,d,1,3,Radial Velocity,2022,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,100.9561682,-1.0630076,-2.17853,213.01042,-24.04666,102.00623,8.966,4.31,0.384,17.142,0.05393,Mass,1.18,G9 V,5250.0,0.84,0.92,-0.292,1.8,4.57,2.354,,3.5,159.906,Neptune-like
DMPP-1 b,DMPP-1,b,1,4,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,86.7761233,-10.6303217,-19.05301,215.35863,-34.02682,86.17602,18.57,5.29,0.472,24.27,0.07636,Msini,0.901,F8 V,6196.0,1.26,1.21,0.32,2.01,4.41,0.81281,,3.41,62.5388,Neptune-like
DMPP-1 c,DMPP-1,c,1,4,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,86.7761233,-10.6303217,-19.05301,215.35863,-34.02682,86.17602,6.584,3.06,0.273,9.6,0.0302,Msini,1.84,F8 V,6196.0,1.26,1.21,0.32,2.01,4.41,0.81281,,3.41,62.5388,Neptune-like
GJ 1151 c,GJ 1151,c,1,1,Radial Velocity,2023,Ground,Multiple Facilities,Multiple Telescopes,Multiple Instruments,177.7304866,48.3732334,65.72032,147.86957,42.4808,154.15439,389.7,3.25,0.29,10.62,0.03341,Msini,1.7,M 4.5V,3280.0,0.18,0.16,-2.48,,5.09,29.34709,140.0,2.0,8.03625,Neptune-like
GJ 1265 b,GJ 1265,b,1,1,Radial Velocity,2018,Ground,Calar Alto Observatory,3.5 m telescope,CARMENES,333.4324675,-17.6870623,-52.51355,39.07968,-6.27212,329.00651,3.6511,2.63,0.234,7.4,0.02328,Msini,2.24,M4.5 V,3236.0,0.19,0.18,-2.439,,5.09,,70.0,2.0,10.2525,Neptune-like
GJ 15 A c,GJ 15 A,c,2,2,Radial Velocity,2018,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,4.6126677,44.0247296,-18.44687,116.69017,37.92432,24.6898,7600.0,6.67,0.595,36.0,0.11327,Msini,0.667,M1,3607.0,0.38,0.38,-1.655,,4.87,8.37411,,1.09,3.56228,Neptune-like
GJ 160.2 b,GJ 160.2,b,1,1,Radial Velocity,2014,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,61.6454173,-20.8564724,-45.26015,215.8726,-40.82616,54.09054,5.2354,3.17,0.283,10.2,0.03209,Msini,1.76,M0 V,4347.0,0.66,0.69,-0.796,,4.61,3.12966,43.6,,25.8557,Neptune-like
GJ 163 b,GJ 163,b,1,3,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,62.3228353,-53.3711768,-45.32001,262.77663,-71.16737,30.85159,8.63182,3.25,0.29,10.6,0.03335,Msini,1.7,M,3500.0,0.41,0.4,-1.708,6.0,4.82,8.24778,,,15.1285,Neptune-like
GJ 163 c,GJ 163,c,1,3,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,62.3228353,-53.3711768,-45.32001,262.77663,-71.16737,30.85159,25.63058,2.5,0.223,6.8,0.0214,Msini,2.39,M,3500.0,0.41,0.4,-1.708,6.0,4.82,8.24778,,,15.1285,Neptune-like
GJ 163 d,GJ 163,d,1,3,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,62.3228353,-53.3711768,-45.32001,262.77663,-71.16737,30.85159,603.95116,5.92,0.528,29.4,0.0925,Msini,0.779,M,3500.0,0.41,0.4,-1.708,6.0,4.82,8.24778,,,15.1285,Neptune-like
GJ 180 b,GJ 180,b,1,3,Radial Velocity,2014,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,73.460097,-17.776194,-33.72746,216.96953,-40.03229,69.26466,17.133,2.43,0.217,6.49,0.02042,Msini,2.49,M2 V,3371.0,0.41,0.43,-1.886,,4.81,8.12507,,,11.9407,Neptune-like
GJ 180 c,GJ 180,c,1,3,Radial Velocity,2014,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,73.460097,-17.776194,-33.72746,216.96953,-40.03229,69.26466,24.329,2.41,0.215,6.4,0.02014,Msini,2.51,M2 V,3371.0,0.41,0.43,-1.886,,4.81,8.12507,,,11.9407,Neptune-like
GJ 180 d,GJ 180,d,1,3,Radial Velocity,2020,Ground,Multiple Facilities,Multiple Telescopes,Multiple Instruments,73.460097,-17.776194,-33.72746,216.96953,-40.03229,69.26466,106.3,2.66,0.237,7.56,0.02379,Msini,2.21,M3,3811.5,0.41,0.43,-1.609,,4.81,8.12507,,,11.9407,Neptune-like
GJ 2056 b,GJ 2056,b,1,1,Radial Velocity,2020,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,108.0194945,-24.8921008,-6.85292,237.4367,-46.82811,114.21273,69.971,4.17,0.372,16.2,0.05097,Msini,1.23,M0V:,4069.95,0.71,0.62,-0.905,,4.48,2.07397,,,28.4434,Neptune-like
GJ 229 A c,GJ 229,c,2,2,Radial Velocity,2020,Ground,Multiple Facilities,Multiple Telescopes,Multiple Instruments,92.6435993,-21.8677233,-18.44091,228.61506,-45.27501,93.48343,121.93268,2.87,0.256,8.58137,0.027,Msini,1.99,M1.5V,3912.54,0.46,0.51,-1.222,0.4,4.69,4.64116,,1.0,5.75624,Neptune-like
GJ 229 b,GJ 229,b,2,2,Radial Velocity,2014,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,92.6435993,-21.8677233,-18.44091,228.61506,-45.27501,93.48343,579.47495,3.97,0.354,14.93794,0.047,Msini,1.31,M1/M2 V,3564.0,0.46,0.51,-1.553,0.4,4.69,4.64116,,1.0,5.75624,Neptune-like
GJ 27.1 b,GJ 27.1,b,1,1,Radial Velocity,2014,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,9.9980016,-44.2541679,-72.72011,309.84569,-43.60812,346.95009,15.819,3.66,0.327,13.0,0.0409,Msini,1.46,M0.5 V,3542.0,0.52,0.53,-1.585,,4.72,5.21124,,,23.6062,Neptune-like
GJ 3082 b,GJ 3082,b,1,1,Radial Velocity,2020,Ground,Multiple Facilities,Multiple Telescopes,Multiple Instruments,18.6432425,-53.9407751,-62.85069,295.46265,-54.74086,345.04967,11.949,2.79,0.249,8.2,0.0258,Msini,2.07,M4,3910.0,0.47,0.47,-1.463,,4.77,6.47822,,,16.6186,Neptune-like
