pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
BD+20 594 b,BD+20 594,b,1,1,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,53.6511231,20.5990205,-28.05348,166.7966,1.31208,56.28872,41.6855,2.578,0.23,22.2481,0.07,Mass,7.89,G,5766.0,1.08,1.67,-0.056,3.34,4.5,1.89,,3.3,179.461,Neptune-like
CoRoT-22 b,CoRoT-22,b,1,1,Transit,2014,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,280.6671392,6.2191669,4.775,37.48307,29.20889,282.17043,9.75598,4.88,0.435,12.2,0.038,Mass,0.249,G3 V,5939.0,1.14,1.1,0.014,3.3,4.36,1.027,,4.0,627.158,Neptune-like
CoRoT-24 b,CoRoT-24,b,1,2,Transit,2014,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,101.922543,-3.7192892,-2.52763,215.81744,-26.6085,103.33092,5.1134,3.7,0.33,5.7,0.018,Mass,0.9,K1 V,4950.0,0.86,0.91,-0.601,11.0,4.55,1.94863,,2.0,591.555,Neptune-like
CoRoT-24 c,CoRoT-24,c,1,2,Transit,2014,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,101.922543,-3.7192892,-2.52763,215.81744,-26.6085,103.33092,11.759,5.0,0.44,28.0,0.088,Mass,1.3,K1 V,4950.0,0.86,0.91,-0.601,11.0,4.55,1.94863,,2.0,591.555,Neptune-like
EPIC 206024342 d,EPIC 206024342,d,1,3,Transit,2021,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,331.2771441,-14.1218019,-49.1871,42.94366,-2.20455,328.3257,14.647531,2.6,0.232,7.27,0.0229,M-R relationship,2.27,,5724.0,1.1,0.93,-0.17,,4.5,2.3828,,,369.888,Neptune-like
EPIC 211945201 b,EPIC 211945201,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,136.5741931,19.4020565,38.12775,208.78206,2.68664,133.29271,19.49221,5.76,0.514,27.0,0.08495,Mass,0.65,G0,6069.0,1.39,1.17,0.373,3.99,4.22,2.253,,4.0,181.69,Neptune-like
EPIC 212297394 c,EPIC 212297394,c,1,2,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,207.2061241,-17.6098985,43.14733,321.8192,-5.98289,211.5298,5.213965,2.27,0.203,5.77,0.0182,M-R relationship,2.71,,5171.0,0.8,0.83,-0.467,,4.55,2.50384,,,418.395,Neptune-like
EPIC 212424622 b,EPIC 212424622,b,1,1,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,202.3313765,-14.3594358,47.50561,316.58254,-4.65298,205.96045,18.0983,2.17,0.194,5.35,0.0168,M-R relationship,2.88,,5782.33,1.22,1.11,0.179,,4.3,0.84195,,,611.804,Neptune-like
EPIC 212587672 c,EPIC 212587672,c,1,2,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,205.4445125,-10.8625468,50.09504,322.41694,-0.29021,207.51816,23.228555,2.32,0.207,5.99,0.0189,M-R relationship,2.64,,6004.0,0.98,0.99,0.038,,4.45,1.85888,,,320.07,Neptune-like
EPIC 212624936 c,EPIC 212624936,c,1,2,Transit,2021,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,210.6376171,-10.0236852,49.04154,330.23401,2.28803,212.00671,11.811437,2.3,0.205,5.9,0.0186,M-R relationship,2.66,,5765.0,0.93,1.0,-0.124,,4.4,1.85537,,,561.929,Neptune-like
EPIC 212737443 b,EPIC 212737443,b,1,2,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,204.2215065,-7.3180577,53.83847,322.27085,2.5791,205.11153,13.603,2.586,0.231,7.2,0.0227,M-R relationship,2.29,K3,4684.0,0.67,0.69,-0.751,,4.62,3.19,,,336.25,Neptune-like
EPIC 212737443 c,EPIC 212737443,c,1,2,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,204.2215065,-7.3180577,53.83847,322.27085,2.5791,205.11153,65.55,2.69,0.24,7.7,0.0242,M-R relationship,2.17,K3,4684.0,0.67,0.69,-0.804,,4.62,3.19,,,336.25,Neptune-like
EPIC 220674823 c,EPIC 220674823,c,1,2,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,13.0800239,10.7947051,-52.07644,123.28442,4.78443,16.22269,13.3397,2.836,0.253,8.9,0.028,Mass,2.12,G5 V,5532.0,0.99,0.95,-0.119,7.5,4.45,1.35,,2.62,244.59,Neptune-like
EPIC 249893012 c,EPIC 249893012,c,1,3,Transit,2020,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,228.2482353,-16.7246474,34.30816,345.11043,1.15614,230.36326,15.624,3.67,0.327,14.67,0.04616,Mass,1.62,G8 IV/V,5430.0,1.71,1.05,0.356,9.0,3.99,0.298,41.0,2.1,321.296,Neptune-like
EPIC 249893012 d,EPIC 249893012,d,1,3,Transit,2020,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,228.2482353,-16.7246474,34.30816,345.11043,1.15614,230.36326,35.747,3.94,0.352,10.18,0.03203,Mass,0.91,G8 IV/V,5430.0,1.71,1.05,0.356,9.0,3.99,0.298,41.0,2.1,321.296,Neptune-like
GJ 1214 b,GJ 1214,b,1,1,Transit,2009,Ground,MEarth Project,0.4 m MEarth Telescope,Apogee CCD Sensor,258.8313991,4.9606795,23.60704,26.16217,27.91224,257.38248,1.58040453,2.733,0.244,8.41,0.02646,Mass,2.26,M4 V,3101.0,0.22,0.18,-2.409,3.0,5.03,25.41,124.7,2.0,14.6427,Neptune-like
GJ 143 b,GJ 143,b,1,2,Transit,2019,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,51.7501882,-63.500166,-45.82079,279.23027,-73.83641,352.87836,35.61253,2.61,0.233,22.7,0.07142,Mass,7.0,K4.5,4640.0,0.7,0.73,-0.686,3.8,4.61,3.03,,,16.32,Neptune-like
GJ 3090 b,GJ 3090,b,1,1,Transit,2022,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,20.4384281,-46.7147234,-69.52189,287.95198,-49.73977,353.78726,2.8531054,2.13,0.19,3.34,0.01051,Mass,1.89,M2 V,3556.0,0.52,0.52,-1.342,,4.73,5.32,,1.468,22.4751,Neptune-like
GJ 9827 d,GJ 9827,d,1,3,Transit,2017,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,351.7717763,-1.2853435,-57.18299,81.34803,2.08221,351.93155,6.201812,1.89,0.169,3.02,0.0095,Mass,2.454,K7 V,4236.0,0.58,0.62,-0.942,5.465,4.72,3.76,28.16,1.75,29.661,Neptune-like
HAT-P-11 b,HAT-P-11,b,1,2,Transit,2008,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,297.7101763,48.0818635,10.77239,81.83486,66.63008,321.54655,4.88780244,4.36,0.389,26.69772,0.084,Mass,1.68,K4,4780.0,0.68,0.81,-0.567,6.5,4.66,3.70008,29.2,1.5,37.7647,Neptune-like
HAT-P-26 b,HAT-P-26,b,1,1,Transit,2010,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,213.1565508,4.0594175,59.87255,346.51303,16.37718,209.49168,4.23452,7.062,0.63,22.2481,0.07,Mass,0.4,K1,5079.0,0.87,1.12,-0.359,9.0,4.56,2.37,,1.8,141.837,Neptune-like
HATS-37 A b,HATS-37 A,b,2,1,Transit,2020,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,199.80183,-22.9868431,39.43782,311.21577,-13.54688,207.00749,4.3315366,6.793,0.606,31.46517,0.099,Mass,0.55,,5326.0,0.88,0.84,-0.256,11.46,4.48,0.86724,,3.98,211.896,Neptune-like
HATS-38 b,HATS-38,b,1,1,Transit,2020,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,154.2710615,-25.2762982,25.74431,264.16473,-33.22293,166.84614,4.375021,6.882,0.614,23.51942,0.074,Mass,0.403,,5732.0,1.1,0.89,0.072,11.89,4.3,1.02548,,3.1,343.525,Neptune-like
HD 106315 c,HD 106315,c,1,2,Transit,2017,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,183.4724742,-0.3934357,61.03534,283.25037,1.01948,183.33896,21.05704,4.35,0.388,15.2,0.04782,Mass,1.01,F5 V,6327.0,1.3,1.09,0.395,4.48,4.25,0.97706,,12.71,109.353,Neptune-like
