pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
DMPP-1 d,DMPP-1,d,1,4,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,86.7761233,-10.6303217,-19.05301,215.35863,-34.02682,86.17602,2.882,1.65,0.147,3.35,0.01054,Msini,4.1,F8 V,6196.0,1.26,1.21,0.32,2.01,4.41,0.81281,,3.41,62.5388,Super Earth
DMPP-1 e,DMPP-1,e,1,4,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,86.7761233,-10.6303217,-19.05301,215.35863,-34.02682,86.17602,5.516,1.86,0.166,4.13,0.01299,Msini,3.53,F8 V,6196.0,1.26,1.21,0.32,2.01,4.41,0.81281,,3.41,62.5388,Super Earth
DMPP-3 A b,DMPP-3 A,b,2,1,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,91.624382,-72.5126648,-29.14463,283.20965,-84.02157,265.30883,6.6732,1.41,0.126,2.58,0.00812,Msini,5.06,K0 V,5138.0,0.91,0.87,-0.293,10.9,4.3,,21.8,1.97,45.23,Super Earth
G 264-012 b,G 264-012,b,1,2,Radial Velocity,2021,Ground,Calar Alto Observatory,3.5 m telescope,CARMENES,326.6719598,66.803848,10.16235,106.14833,68.34109,26.91465,2.30538,1.39,0.124,2.5,0.00787,Msini,5.12,M4.0 V,3326.0,0.3,0.3,-1.972,,4.85,13.25922,100.0,2.0,16.009,Super Earth
G 264-012 c,G 264-012,c,1,2,Radial Velocity,2021,Ground,Calar Alto Observatory,3.5 m telescope,CARMENES,326.6719598,66.803848,10.16235,106.14833,68.34109,26.91465,8.0518,1.76,0.157,3.75,0.0118,Msini,3.78,M4.0 V,3326.0,0.3,0.3,-1.972,,4.85,13.25922,100.0,2.0,16.009,Super Earth
GJ 1002 b,GJ 1002,b,1,2,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,1.6764641,-7.5462123,-67.73033,92.44529,-7.58666,358.51455,10.3465,1.03,0.092,1.08,0.0034,Msini,5.43,M5.5 V,3024.0,0.14,0.12,-2.852,,5.1,55.44255,126.0,,4.84867,Super Earth
GJ 1002 c,GJ 1002,c,1,2,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,1.6764641,-7.5462123,-67.73033,92.44529,-7.58666,358.51455,21.202,1.1,0.098,1.36,0.00428,Msini,5.61,M5.5 V,3024.0,0.14,0.12,-2.852,,5.1,55.44255,126.0,,4.84867,Super Earth
GJ 1061 b,GJ 1061,b,1,3,Radial Velocity,2020,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,54.0032486,-44.5143104,-52.90138,251.87109,-60.77607,30.86014,3.204,1.1,0.098,1.37,0.00431,Msini,5.66,M5.5 V,2953.0,0.16,0.12,-2.77,7.0,5.16,47.5619,,2.5,3.67278,Super Earth
GJ 1061 c,GJ 1061,c,1,3,Radial Velocity,2020,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,54.0032486,-44.5143104,-52.90138,251.87109,-60.77607,30.86014,6.689,1.18,0.105,1.74,0.00547,Msini,5.82,M5.5 V,2953.0,0.16,0.12,-2.77,7.0,5.16,47.5619,,2.5,3.67278,Super Earth
GJ 1061 d,GJ 1061,d,1,3,Radial Velocity,2020,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,54.0032486,-44.5143104,-52.90138,251.87109,-60.77607,30.86014,13.031,1.16,0.103,1.64,0.00516,Msini,5.77,M5.5 V,2953.0,0.16,0.12,-2.77,7.0,5.16,47.5619,,2.5,3.67278,Super Earth
