pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
CoRoT-7 b,CoRoT-7,b,1,3,Transit,2009,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,100.9561682,-1.0630076,-2.17853,213.01042,-24.04666,102.00623,0.85359163,1.681,0.15,4.07661,0.01283,Mass,9.355,G9 V,5275.0,0.83,0.82,-0.289,1.8,4.5,2.0,,3.5,159.906,Super Earth
EPIC 201170410.02,EPIC 201170410,b,1,1,Transit,2020,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,170.1408561,-4.8070039,51.24569,264.99528,-8.32309,172.84294,6.7987,1.047,0.093,1.15,0.0036,M-R relationship,5.51,,3648.0,0.28,0.29,-1.9,,5.0,,,,134.0,Super Earth
EPIC 201238110 b,EPIC 201238110,b,1,1,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,179.7058532,-3.3894613,56.94662,278.31843,-3.22646,181.07597,28.1656,1.87,0.167,4.16,0.0131,M-R relationship,3.5,,3587.0,0.37,0.41,-1.508,,4.78,6.73294,,,159.259,Super Earth
EPIC 201427007 b,EPIC 201427007,b,1,1,Transit,2021,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,184.6021322,-0.5512886,61.20318,285.58634,1.3229,184.43869,0.72091,1.5,0.134,2.86,0.00899,M-R relationship,4.66,,5633.0,0.94,0.93,-0.049,,4.4,1.02055,,,706.391,Super Earth
EPIC 201595106 b,EPIC 201595106,b,1,1,Transit,2021,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,183.7203635,1.9681688,63.35883,282.19917,3.28517,182.6276,0.877214,1.3,0.116,2.24,0.00705,M-R relationship,5.6,,5820.0,0.93,1.02,-0.026,,4.6,1.47541,,3.62,232.1,Super Earth
EPIC 201615463 c,K2-166,c,1,2,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,185.1880932,2.2823788,64.0901,285.15815,4.15639,183.85124,3.80464,1.22,0.109,1.98,0.00624,M-R relationship,5.99,,5942.5,1.6,1.07,0.458,,4.09,0.42293,,,476.882,Super Earth
EPIC 201754305 d,K2-16,d,1,3,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,175.0972238,4.5574311,61.77713,262.91176,2.23585,173.68916,2.71578,1.03,0.092,1.08,0.0034,M-R relationship,5.43,K3 V,4761.0,0.54,0.67,-0.761,,4.63,2.95996,,2.0,334.967,Super Earth
EPIC 201841433 b,EPIC 201841433,b,1,1,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,175.206752,6.1348146,63.11979,261.10589,3.72695,173.16246,4.1698,1.04,0.093,1.12,0.00352,M-R relationship,5.47,,5053.0,0.63,0.8,-0.635,,4.6,2.65207,,,436.488,Super Earth
EPIC 205950854 c,K2-168,c,1,2,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,333.1100738,-16.3418863,-51.71337,40.91076,-4.90552,329.19967,8.050722,1.31,0.117,2.27,0.00714,M-R relationship,5.55,,5502.7,0.83,0.88,-0.176,,4.39,1.2704,,,243.935,Super Earth
EPIC 206024342 b,EPIC 206024342,b,1,3,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,331.2771441,-14.1218019,-49.1871,42.94366,-2.20455,328.3257,4.50756,1.7,0.152,3.53,0.0111,M-R relationship,3.95,,5724.0,0.82,0.93,-0.17,,4.59,2.3828,,,369.888,Super Earth
EPIC 206024342 c,EPIC 206024342,c,1,3,Transit,2021,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,331.2771441,-14.1218019,-49.1871,42.94366,-2.20455,328.3257,0.911724,1.4,0.125,2.54,0.008,M-R relationship,5.09,,5724.0,1.1,0.93,-0.17,,4.5,2.3828,,,369.888,Super Earth
EPIC 206032309 b,EPIC 206032309,b,1,1,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,341.2404563,-13.9011223,-57.69594,50.70238,-5.52299,337.42909,2.87814,1.01,0.09,1.01,0.00317,M-R relationship,5.39,,3489.0,0.37,0.22,-1.73,,4.85,9.77858,,,161.365,Super Earth
EPIC 206042996 b,EPIC 206042996,b,1,2,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,337.5136198,-13.6101475,-54.37586,48.06541,-3.90104,334.1687,5.2986,1.7,0.152,3.53,0.0111,M-R relationship,3.95,,4114.0,0.5,0.57,-0.98,,4.8,2.90458,,,451.769,Super Earth
EPIC 206042996 c,EPIC 206042996,c,1,2,Transit,2021,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,337.5136198,-13.6101475,-54.37586,48.06541,-3.90104,334.1687,0.354884,1.2,0.107,1.87,0.00588,M-R relationship,5.95,,4114.0,0.5,0.57,-0.98,,4.8,2.90458,,,451.769,Super Earth
EPIC 206317286 c,EPIC 206317286,c,1,2,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,337.6178427,-7.972456,-51.54478,56.17023,1.30362,336.33924,17.515472,2.094,0.187,5.03,0.0158,M-R relationship,3.01,,4752.0,0.76,0.83,-0.593,,4.6,2.51975,,,314.35,Super Earth
EPIC 211822797 b,EPIC 211822797,b,1,1,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,130.4102091,17.6399744,32.03739,208.28299,-0.60769,128.15245,21.1701963,1.92,0.171,4.35,0.0137,M-R relationship,3.38,M0,4057.0,0.58,0.62,-1.153,0.79,4.7,3.87972,14.6,2.6,186.197,Super Earth
EPIC 212297394 b,EPIC 212297394,b,1,2,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,207.2061241,-17.6098985,43.14733,321.8192,-5.98289,211.5298,2.289363,1.48,0.132,2.79,0.00879,M-R relationship,4.73,,5171.0,0.8,0.83,-0.505,,4.55,2.50384,,,418.395,Super Earth
EPIC 212499991 b,EPIC 212499991,b,1,1,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,202.488752,-12.7347749,49.05579,317.34866,-3.08631,205.50278,34.885,1.6,0.143,3.19,0.01,M-R relationship,4.28,,4982.79,0.76,0.91,-0.497,,4.61,2.81669,,,283.29,Super Earth
EPIC 212587672 b,EPIC 212587672,b,1,2,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,205.4445125,-10.8625468,50.09504,322.41694,-0.29021,207.51816,15.28078,1.26,0.112,2.13,0.00669,M-R relationship,5.85,,6004.0,0.98,0.99,0.006,,4.45,1.85888,,,320.07,Super Earth
