rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist
1,11 Com b,11 Com,b,2,1,Radial Velocity,2007,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,185.1787793,17.7932516,78.28058,264.13775,18.33392,177.4179,323.21,12.2,1.09,4914.89849,15.464,Msini,14.9,G8 III,4874.0,13.76,2.09,1.978,,2.45,,,1.2,93.1846
2,11 UMi b,11 UMi,b,1,1,Radial Velocity,2009,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,229.2745954,71.8239428,41.04437,108.719,74.95821,141.64699,516.21997,12.3,1.09,4684.8142,14.74,Msini,13.8,K4 III,4213.0,29.79,2.78,2.43,1.56,1.93,,,1.5,125.321
3,14 And b,14 And,b,1,1,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,352.82415,39.2358367,-21.05141,106.41269,38.22901,11.95935,186.76,13.1,1.16,1131.1513,3.559,Msini,2.76,K0 III,4888.0,11.55,1.78,1.84,4.5,2.55,,,2.6,75.4392
4,14 Her b,14 Her,b,1,2,Radial Velocity,2002,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,242.6021014,43.8163621,46.94447,69.16849,62.87885,223.24717,1765.0389,12.6,1.12,2559.47216,8.053,Mass,7.03,K0 V,5338.0,0.93,0.91,-0.153,3.9,4.45,1.27393,,1.0,17.9323
5,16 Cyg B b,16 Cyg B,b,3,1,Radial Velocity,1996,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,295.4656422,50.5168243,13.20446,83.33558,69.46803,321.21176,798.5,13.5,1.2,565.7374,1.78,Msini,1.26,G3 V,5750.0,1.13,1.08,0.097,7.4,4.36,1.01103,,2.7,21.1397
6,17 Sco b,17 Sco,b,1,1,Radial Velocity,2020,Ground,Lick Observatory,Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,243.4620874,-11.8377905,27.34301,1.30262,9.21181,243.70449,578.38,12.9,1.15,1373.01872,4.32,Msini,3.51,K3 III,4157.0,25.92,1.22,2.254,5.13,1.7,,329.49,3.98,124.953
7,18 Del b,18 Del,b,2,1,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,314.6078375,10.8391378,-21.9748,58.69121,26.78678,320.58706,982.85,12.5,1.12,2926.24614,9.207,Msini,8.23,G6 III,4980.0,8.8,2.1,1.634,1.1,2.87,,,,76.222
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,Imaging,2008,Ground,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,242.3762343,-21.0831403,22.03031,352.8905,-0.06852,244.36567,,18.647,1.664,3000.0,8.0,Mass,2.54,K7 V,4060.0,1.31,0.85,-0.37,0.005,4.0,0.38789,,,139.135
9,24 Boo b,24 Boo,b,1,1,Radial Velocity,2018,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,217.1555242,49.8446488,60.6447,90.16373,58.88795,185.91956,30.33,13.9,1.24,280.64248,0.883,Msini,0.574,G3 IV,4816.0,12.19,1.05,1.877,6.92,2.28,,,3.36,95.9863
10,24 Sex b,24 Sex,b,1,2,Radial Velocity,2010,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,155.8684866,-0.9023998,44.7158,245.08569,-10.19818,157.99391,452.8,13.4,1.19,632.46,1.99,Msini,1.44,K0 IV,5098.0,4.9,1.54,1.164,2.7,3.5,,,2.77,72.0691
11,24 Sex c,24 Sex,c,1,2,Radial Velocity,2010,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,155.8684866,-0.9023998,44.7158,245.08569,-10.19818,157.99391,883.0,13.9,1.24,273.32,0.86,Msini,0.559,K0 IV,5098.0,4.9,1.54,1.164,2.7,3.5,,,2.77,72.0691
12,2M0437 b,2MASS J04372171+2651014,b,1,1,Imaging,2021,Ground,Subaru Telescope,8.2 m Subaru Telescope,Infrared Camera and Spectrograph (IRCS),69.3405531,26.8502997,-13.44593,172.81975,4.72193,71.58413,,13.0,1.16,1271.31363,4.0,Mass,3.18,M V,3100.0,0.84,0.17,-1.164,0.003,4.5,3.32018,1.84,22.54,128.484
13,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,b,2,1,Imaging,2013,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,15.8992489,-55.2658291,-61.77586,299.26888,-54.69414,341.46812,,12.3,1.1,4131.79,13.0,Mass,12.2,M5.5/M6,,,0.19,,0.03,,,,,47.2
14,2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,1,1,Imaging,2013,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,20.7128012,-24.6646128,-82.5199,195.45385,-30.71197,8.62267,,11.209,1.0,7786.5,24.5,Mass,30.4,M3.5 V,3530.0,0.37,0.4,-1.72,0.12,4.86,10.11868,,,33.8281
15,2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,1,1,Imaging,2015,Ground,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,SIMON Near-Infrared Spectroimager,34.8427046,-39.4230767,-67.98402,252.45343,-49.30514,13.50901,,16.141,1.44,4417.837,13.9,Mass,5.77,M6,3064.0,0.28,0.11,-2.23,0.035,4.59,17.67076,,6.5,40.0896412
16,2MASS J0249-0557 c,2MASS J0249-0557 A,c,2,1,Imaging,2018,Ground,Mauna Kea Observatory,3.58 m Canada-France-Hawaii Telescope (CFHT),WIRCam,42.4851627,-5.9599921,-54.7665,181.3869,-21.25209,38.09147,,12.4,1.11,3686.80952,11.6,Mass,10.6,M6 V,2859.0,0.32,0.05,-2.59,0.022,4.91,13.18121,,,66.0613
17,2MASS J03590986+2009361 b,2MASS J03590986+2009361,b,1,1,Imaging,2024,Space,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,Gaia CCD array,59.7911026,20.1599759,-24.41615,171.7948,-0.37206,61.80997,,12.2,1.08,5720.91133,18.0,Mass,17.3,,2943.0,0.29,0.26,-2.246,,4.94,15.35385,,,117.435
18,2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,1,1,Imaging,2010,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope,WFPC2 Camera,70.4371079,23.0308544,-15.11435,176.51065,0.80236,72.05025,,12.6,1.13,2383.6,7.5,Mass,6.55,M8.5,2936.0,0.23,0.02,-2.444,0.001,5.01,22.7811,,,120.423987
19,2MASS J11011926-7732383 b,2MASS J11011926-7732383,b,1,1,Imaging,2024,Space,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,Gaia CCD array,165.3295388,-77.5440912,-15.96361,296.98009,-66.5799,238.33044,,11.9,1.06,8899.1954,28.0,Mass,29.0,,,,,,,,,,,
20,2MASS J11550485-7919108 b,2MASS J11550485-7919108,b,1,1,Imaging,2024,Space,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,Gaia CCD array,178.7691634,-79.3197558,-16.7447,300.23137,-64.57818,244.42577,,12.1,1.08,6356.56814,20.0,Mass,19.7,,3021.0,0.6,0.59,-1.568,,4.65,3.83213,,,100.862
21,2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,1,1,Imaging,2004,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,181.8890906,-39.5484399,22.54309,293.79011,-35.03506,199.73955,,12.9,1.15,1589.15,5.0,Mass,4.07,M8,2825.0,0.22,0.02,-2.561,0.008,5.03,25.27945,,,64.308
22,2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,2,3,Eclipse Timing Variations,2015,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,294.6359173,46.0664076,11.67426,79.01876,65.72534,314.70935,406.0,13.4,1.2,603.877,1.9,Mass,1.38,,29564.0,0.2,0.48,1.45,,5.51,,,,396.332
23,2MASS J21252752-8138278 b,2MASS J21252752-8138278,b,1,1,Imaging,2024,Space,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,Gaia CCD array,321.3662989,-81.6414894,-32.11971,310.65078,-60.6492,283.39145,,12.4,1.1,3813.94088,12.0,Mass,11.0,,3592.0,0.67,0.64,-1.168,,4.59,2.98068,,,34.1154
24,2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,1,1,Imaging,2016,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,339.1025931,47.861683,-9.10923,100.74846,50.8533,6.85902,,12.3,1.1,3972.875,12.5,Mass,11.7,K7 V,4045.0,0.64,0.6,-1.021,0.12,4.62,3.36994,,,69.5737
25,30 Ari B b,30 Ari B,b,4,1,Radial Velocity,2009,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,39.2412736,24.6480103,-32.3093,151.47681,8.85457,44.56452,335.10001,12.3,1.1,4392.4106,13.82,Msini,13.0,F6 V,6331.0,1.41,1.93,0.381,0.91,4.43,0.743,,38.3,44.657
26,4 UMa b,4 UMa,b,1,1,Radial Velocity,2006,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,130.0528099,64.3280504,35.95654,151.35882,44.02809,112.80905,270.27,12.6,1.12,2511.48007,7.902,Msini,6.9,K1 III,4415.0,18.11,1.23,2.062,4.604,1.8,,,,73.4603
27,42 Dra b,42 Dra,b,2,1,Radial Velocity,2008,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,276.4975053,65.5633652,27.12504,95.41912,87.18291,342.26846,479.1,13.0,1.16,1233.13,3.88,Msini,3.08,K1.5 III,4200.0,22.03,0.98,2.155,9.49,1.71,,,1.0,90.6545
28,47 UMa b,47 UMa,b,1,3,Radial Velocity,1996,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,164.8647611,40.4304931,63.3677,175.78305,31.06122,149.06831,1078.0,13.2,1.18,804.08,2.53,Msini,1.92,G0 V,5872.0,1.21,1.06,0.198,6.48,4.3,0.83662,,2.8,13.7967
29,47 UMa c,47 UMa,c,1,3,Radial Velocity,2001,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,164.8647611,40.4304931,63.3677,175.78305,31.06122,149.06831,2391.0,14.2,1.27,171.621,0.54,Msini,0.329,G1 V,5872.0,1.21,1.06,0.198,6.48,4.3,0.83662,,2.8,13.7967
