pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
EPIC 201497682 b,EPIC 201497682,b,1,1,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,168.9366786,0.4880606,54.82399,258.19387,-3.92857,169.63431,2.13174,0.692,0.062,0.26,0.00082,M-R relationship,4.31,,4991.0,0.55,0.78,-0.766,,4.63,3.22926,,,253.026,Terrestrial
EPIC 201757695.02,EPIC 201757695,b,1,1,Transit,2020,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,173.9385102,4.6164303,61.14782,260.8805,1.83241,172.60462,2.0478,0.908,0.081,0.688,0.00217,M-R relationship,5.05,,4520.0,0.66,0.73,-0.364,,4.66,,,,577.6,Terrestrial
EPIC 201833600 c,K2-50,c,1,2,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,169.483654,5.988289,59.32248,252.27127,1.34727,167.98527,3.96151,1.0,0.089,0.972,0.00306,M-R relationship,5.34,,4292.67,0.63,0.61,-0.874,,4.74,2.55179,,,257.443,Terrestrial
EPIC 206215704 b,EPIC 206215704,b,1,1,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,335.0949721,-9.5097112,-50.28505,51.97463,0.78076,333.45652,2.255436,1.0,0.089,0.972,0.00306,M-R relationship,5.34,,3297.0,0.25,0.41,-2.088,,4.9,19.87982,,,109.888,Terrestrial
EPIC 206317286 b,EPIC 206317286,b,1,2,Transit,2019,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,337.6178427,-7.972456,-51.54478,56.17023,1.30362,336.33924,1.58252,0.96,0.086,0.84,0.00264,M-R relationship,5.22,,4864.0,0.67,0.71,-0.593,,4.6,2.51975,,,314.35,Terrestrial
EPIC 220492298 b,EPIC 220492298,b,1,1,Transit,2021,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,16.7615005,6.588798,-56.07199,129.88845,-0.49746,17.96483,0.762406,0.99,0.088,0.937,0.00295,M-R relationship,5.31,,5620.0,0.89,0.95,-0.009,,4.5,0.97092,,,624.512,Terrestrial
GJ 367 b,GJ 367,b,1,3,Transit,2021,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,146.121464,-45.7790165,5.6589,272.24323,-54.30771,172.94487,0.3219225,0.699,0.062,0.633,0.00199,Mass,10.2,M1.0 V,3522.0,0.46,0.46,-1.539,,4.78,6.69667,51.3,,9.41263,Terrestrial
HD 23472 d,HD 23472,d,1,5,Transit,2022,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,55.4590314,-62.7672667,-44.84798,277.0269,-74.95491,358.26316,3.97664,0.75,0.067,0.55,0.00173,Mass,7.5,K4 V,4684.0,0.71,0.67,-0.625,,4.53,2.70687,40.1,1.45,39.0341,Terrestrial
HD 23472 e,HD 23472,e,1,5,Transit,2022,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,55.4590314,-62.7672667,-44.84798,277.0269,-74.95491,358.26316,7.90754,0.818,0.073,0.72,0.00227,Mass,7.5,K4 V,4684.0,0.71,0.67,-0.625,,4.53,2.70687,40.1,1.45,39.0341,Terrestrial
K2-116 b,K2-116,b,1,1,Transit,2017,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,336.1523363,-11.5793181,-52.23321,49.97279,-1.52485,333.67545,4.655411,0.69,0.062,0.257,0.00081,M-R relationship,4.3,,4348.35,0.67,0.69,-0.746,,4.64,2.18936,,,49.3855,Terrestrial
K2-136 b,K2-136,b,2,3,Transit,2017,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,67.4128615,22.8825674,-17.35063,174.77536,1.05393,69.26876,7.9752,1.014,0.09,4.3,0.01353,Mass,24.0,K5.5,4500.0,0.68,0.74,-0.777,0.65,4.68,3.38358,15.0,2.0,59.2474,Terrestrial
K2-137 b,K2-137,b,1,1,Transit,2017,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,186.870426,-6.1952168,56.17618,292.19218,-2.96382,188.75304,0.179719,0.64,0.057,158.915,0.5,Mass,,M3 V,3697.0,0.29,0.46,-1.484,,5.0,13.0,,,98.8765,Terrestrial
